Pos,ID,Name,BV,SV,Team,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts
M,508,Sinisterra,6.5,6.5,Leeds,42,1.767,58,4.32,60,2.491,60,2.106,58,1.781,57,2.168,57,2.462,59,1.945,59,2.208
D,404,Stephens,4.3,4.3,Bournemouth,74,2.438,72,4.965,70,2.233,70,1.959,67,2.461,0,0.002,68,2.606,64,2.005,65,2.45
D,302,Stones,5.4,5.4,Man City,0,0.0,65,2.801,63,3.338,59,2.57,57,0.018,59,2.129,58,5.018,58,2.569,59,2.645
M,514,C.Doucouré,5.0,5.0,Crystal Palace,83,2.269,81,2.664,75,2.406,68,2.35,65,2.182,63,1.924,69,2.338,74,2.283,74,2.636
M,704,Sarabia,5.5,5.5,Wolves,53,2.019,65,3.269,60,2.278,61,2.526,59,2.394,57,2.339,59,1.977,57,2.224,54,1.865
M,368,Saint-Maximin,6.1,6.1,Newcastle,63,3.167,49,3.593,48,1.969,47,2.396,45,1.666,47,1.981,46,1.968,46,1.862,48,2.144
D,445,Emerson Royal,5.0,5.0,Spurs,56,1.989,68,3.527,61,2.117,61,2.932,63,2.248,58,1.784,58,1.51,60,2.731,57,1.847
M,371,Joelinton,5.9,5.9,Newcastle,0,-0.307,68,4.821,64,2.412,64,2.929,61,1.929,59,1.854,62,2.307,62,2.21,61,2.309
M,562,Solomon,4.9,4.9,Fulham,0,0.0,47,2.595,48,2.337,47,2.597,44,1.813,47,2.402,46,3.653,46,2.397,48,2.615
M,609,Antony,7.3,7.3,Man Utd,0,0.0,66,5.147,62,2.627,61,2.497,60,0.434,59,1.945,60,3.895,57,1.916,56,1.924
D,432,Davies,4.8,4.8,Spurs,70,3.465,62,2.668,62,2.112,60,2.616,59,1.74,58,1.765,62,1.748,59,2.487,57,1.749
D,520,Koulibaly,5.5,5.5,Chelsea,73,3.973,70,6.027,61,2.456,60,1.974,59,0.377,52,1.419,54,1.328,47,1.269,47,1.263
M,698,Lemina,4.5,4.5,Wolves,74,2.542,71,2.515,68,2.278,68,2.242,67,2.183,65,2.284,63,1.86,64,2.033,63,1.875
M,693,Alcaraz,5.0,5.0,Southampton,53,2.04,50,2.152,53,1.877,53,2.245,51,1.964,49,2.493,50,2.025,51,2.562,49,2.299
M,480,Neves,5.4,5.4,Wolves,85,3.075,63,2.237,47,1.047,53,1.202,59,1.573,65,2.37,73,2.383,80,3.02,81,2.675
D,249,Evans,4.4,4.4,Leicester,84,2.412,59,3.892,59,2.241,58,1.266,60,2.223,60,1.839,60,2.346,58,1.704,60,1.547
M,535,Tavernier,4.7,4.7,Bournemouth,10,1.2,60,4.269,59,2.074,58,1.958,57,2.024,60,2.279,55,1.874,55,1.746,57,1.987
M,731,Kamaldeen,5.0,5.0,Southampton,63,2.701,61,2.623,58,2.015,58,2.338,56,1.918,54,2.093,52,1.78,50,1.964,52,1.966
F,227,Bamford,7.1,7.1,Leeds,61,2.578,56,4.243,50,1.896,51,1.759,50,1.485,48,1.909,49,2.069,47,1.658,46,1.768
D,50,Diego Carlos,4.7,4.7,Aston Villa,27,1.258,59,3.68,60,2.519,59,1.986,62,1.969,58,2.125,60,1.67,58,2.077,61,2.057
M,314,Foden,8.0,8.0,Man City,0,0.0,51,2.138,51,2.563,53,2.503,51,0.021,51,2.192,50,4.639,49,2.482,51,2.596
F,80,Toney,7.8,7.7,Brentford,86,5.034,55,5.11,40,2.056,44,2.241,23,1.77,26,1.65,27,1.896,0,-0.342,0,-0.313
M,446,Kulusevski,7.9,7.9,Spurs,59,2.502,58,2.415,56,1.849,58,2.383,55,1.944,55,1.905,54,1.792,56,2.152,56,2.155
F,103,Welbeck,6.5,6.5,Brighton,0,0.0,49,4.017,43,2.102,46,2.444,43,0.017,43,2.14,43,3.759,44,2.449,41,2.129
M,611,Gueye,4.9,4.9,Everton,74,2.341,70,2.289,68,2.08,65,2.176,64,2.083,66,2.103,65,2.093,65,1.915,66,1.915
M,304,Sterling,9.7,9.7,Chelsea,39,2.086,55,4.329,48,2.06,49,1.778,50,0.424,49,1.958,51,1.923,48,2.168,47,2.149
