,Pos,ID,Name,BV,SV,Team,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts
162,M,566.0,Matheus,48,48,Man City,65.0,2.473,65.0,2.777,65.0,2.755,0.0,0.0,65.0,2.636,65.0,4.924,65.0,2.395,65.0,2.921,65.0,2.476,65.0,2.778,65.0,2.512,65.0,2.716
163,D,242.0,Ward,45,45,Crystal Palace,77.0,3.326,77.0,2.182,77.0,1.477,77.0,2.615,77.0,2.071,77.0,2.607,77.0,1.862,77.0,3.958,77.0,2.244,77.0,2.416,77.0,2.732,77.0,3.658
164,M,605.0,Koleosho,50,50,Burnley,65.0,2.732,65.0,2.504,65.0,2.676,65.0,2.646,65.0,2.469,65.0,2.491,65.0,3.007,65.0,2.356,65.0,2.696,65.0,2.436,65.0,2.471,65.0,2.618
165,M,161.0,Brownhill,47,47,Burnley,75.0,2.695,75.0,2.498,75.0,2.703,75.0,2.652,75.0,2.496,75.0,2.483,75.0,2.93,75.0,2.34,75.0,2.741,75.0,2.433,75.0,2.501,75.0,2.617
166,M,488.0,Norwood,48,48,Sheffield Utd,74.0,2.485,74.0,2.528,74.0,2.432,74.0,2.434,74.0,2.916,74.0,2.349,74.0,2.713,74.0,2.597,74.0,2.524,74.0,2.771,74.0,2.556,74.0,2.668
167,M,47.0,Kamara,50,50,Aston Villa,84.0,2.234,84.0,2.369,84.0,2.321,84.0,2.904,84.0,2.382,84.0,2.827,84.0,2.459,84.0,2.342,84.0,2.679,84.0,2.524,84.0,2.527,84.0,2.772
168,D,548.0,Bueno,44,44,Wolves,65.0,3.19,65.0,3.1,65.0,2.423,65.0,2.144,65.0,2.047,65.0,2.824,65.0,2.062,65.0,2.432,65.0,1.93,65.0,2.287,65.0,2.254,65.0,3.541
169,D,247.0,Coleman,44,44,Everton,73.0,2.214,73.0,2.464,73.0,3.042,73.0,2.552,73.0,1.759,73.0,2.896,73.0,2.662,73.0,2.77,73.0,2.889,73.0,1.561,73.0,3.087,73.0,2.311
170,D,173.0,O'Shea,44,44,Burnley,82.0,2.818,82.0,2.078,82.0,3.154,82.0,2.69,82.0,2.088,82.0,2.06,82.0,3.93,82.0,1.541,82.0,3.143,82.0,1.79,82.0,2.107,82.0,2.588
171,D,572.0,Semedo,45,45,Wolves,75.0,3.317,75.0,3.202,75.0,2.372,75.0,2.052,75.0,1.908,75.0,2.908,75.0,1.92,75.0,2.42,75.0,1.755,75.0,2.237,75.0,2.169,75.0,3.703
172,D,602.0,Kabore,40,40,Luton,70.0,2.122,70.0,1.786,70.0,2.791,70.0,2.084,70.0,3.331,70.0,2.259,70.0,2.933,70.0,2.423,70.0,1.841,70.0,3.912,70.0,2.601,70.0,1.856
