Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts
M,280.0,Palhinha,50,50,Fulham,85.0,3.801,85.0,3.035,85.0,2.966,85.0,3.377,85.0,3.2,85.0,3.644,85.0,2.931,85.0,3.696,85.0,3.477,85.0,3.002,85.0,3.78,85.0,3.521
D,217.0,Thiago Silva,50,50,Chelsea,87.0,3.926,87.0,2.996,87.0,3.507,87.0,3.034,87.0,2.353,87.0,2.543,87.0,3.12,87.0,3.081,87.0,3.524,87.0,4.822,87.0,3.738,87.0,3.769
M,557.0,Hwang,54,54,Wolves,62.0,3.127,62.0,3.582,62.0,2.938,62.0,4.511,62.0,3.055,62.0,3.441,62.0,2.961,62.0,3.734,62.0,3.647,62.0,3.27,62.0,3.017,62.0,3.03
M,540.0,Rice,54,54,Arsenal,85.0,2.947,85.0,3.071,85.0,3.943,85.0,2.99,85.0,3.89,85.0,3.204,85.0,3.734,85.0,3.63,85.0,3.164,85.0,3.144,85.0,2.995,85.0,3.558
D,281.0,Ream,45,45,Fulham,72.0,4.432,72.0,2.91,72.0,2.473,72.0,3.291,72.0,2.679,72.0,4.007,72.0,2.281,72.0,4.084,72.0,3.631,72.0,2.307,72.0,4.319,72.0,3.596
D,42.0,Digne,46,46,Aston Villa,75.0,3.495,75.0,3.579,75.0,4.603,75.0,3.498,75.0,3.789,75.0,2.743,75.0,3.565,75.0,1.993,75.0,2.59,75.0,2.703,75.0,4.627,75.0,2.742
D,522.0,Aguerd,45,45,West Ham,80.0,2.698,80.0,2.64,80.0,3.936,80.0,2.907,80.0,4.187,80.0,3.744,80.0,3.574,80.0,3.008,80.0,3.368,80.0,4.085,80.0,3.31,80.0,2.376
M,542.0,Soucek,49,49,West Ham,77.0,3.045,77.0,3.111,77.0,3.414,77.0,3.139,77.0,3.648,77.0,3.527,77.0,3.413,77.0,3.078,77.0,3.415,77.0,3.618,77.0,3.309,77.0,3.084
M,601.0,Danjuma,55,55,Everton,65.0,3.51,65.0,3.14,65.0,3.405,65.0,3.228,65.0,3.285,65.0,3.337,65.0,3.361,65.0,3.179,65.0,3.282,65.0,3.435,65.0,3.258,65.0,3.094
D,528.0,Coufal,45,45,West Ham,75.0,2.588,75.0,2.591,75.0,3.843,75.0,2.845,75.0,4.194,75.0,3.811,75.0,3.584,75.0,2.889,75.0,3.397,75.0,4.132,75.0,3.254,75.0,2.38
F,33.0,Archer,45,45,Sheffield Utd,78.0,3.427,78.0,3.33,78.0,3.228,78.0,3.436,78.0,2.999,78.0,3.423,78.0,3.455,78.0,3.043,78.0,3.296,78.0,3.092,78.0,3.243,78.0,3.487
M,416.0,Joelinton,58,58,Newcastle,75.0,3.26,75.0,3.285,75.0,3.352,75.0,3.009,75.0,3.358,75.0,3.131,75.0,3.216,75.0,3.226,75.0,3.027,75.0,3.457,75.0,3.473,75.0,3.545
M,161.0,Brownhill,48,48,Burnley,73.0,3.085,73.0,3.055,73.0,3.339,73.0,3.17,73.0,2.963,73.0,3.233,73.0,4.277,73.0,3.331,73.0,2.981,73.0,3.336,73.0,3.256,73.0,3.006
D,48.0,Konsa,45,45,Aston Villa,77.0,3.361,77.0,3.465,77.0,4.481,77.0,3.373,77.0,3.686,77.0,2.732,77.0,3.427,77.0,2.023,77.0,2.581,77.0,2.667,77.0,4.505,77.0,2.694
D,129.0,Dunk,50,50,Brighton,84.0,2.633,84.0,1.783,84.0,3.835,84.0,3.331,84.0,4.733,84.0,3.518,84.0,2.62,84.0,3.332,84.0,4.543,84.0,2.268,84.0,2.988,84.0,3.399
F,211.0,N.Jackson,69,69,Chelsea,78.0,3.446,78.0,3.075,78.0,3.279,78.0,3.179,78.0,2.933,78.0,2.933,78.0,3.065,78.0,3.248,78.0,3.39,78.0,3.465,78.0,3.406,78.0,3.321
D,265.0,Tarkowski,44,44,Everton,82.0,4.24,82.0,2.386,82.0,3.384,82.0,2.995,82.0,3.325,82.0,3.502,82.0,3.649,82.0,2.729,82.0,3.241,82.0,3.954,82.0,3.02,82.0,2.243
D,228.0,Guéhi,45,45,Crystal Palace,85.0,4.16,85.0,2.361,85.0,3.185,85.0,3.782,85.0,3.759,85.0,3.815,85.0,3.22,85.0,4.156,85.0,2.686,85.0,1.944,85.0,2.909,85.0,2.681
D,377.0,Dalot,49,49,Man Utd,77.0,3.264,77.0,3.747,77.0,2.106,77.0,3.313,77.0,4.493,77.0,3.327,77.0,2.338,77.0,3.141,77.0,4.181,77.0,2.345,77.0,3.197,77.0,3.053
M,221.0,J.Ayew,55,55,Crystal Palace,77.0,3.596,77.0,2.781,77.0,3.188,77.0,3.52,77.0,3.444,77.0,3.536,77.0,3.283,77.0,3.598,77.0,2.883,77.0,2.668,77.0,2.936,77.0,3.047
G,596.0,Trafford,45,45,Burnley,89.0,3.025,89.0,2.865,89.0,3.333,89.0,3.354,89.0,2.585,89.0,3.431,89.0,4.15,89.0,3.282,89.0,2.73,89.0,3.562,89.0,3.183,89.0,2.859
G,101.0,Flekken,45,45,Brentford,89.0,3.104,89.0,4.291,89.0,2.975,89.0,3.679,89.0,2.716,89.0,3.039,89.0,4.445,89.0,2.885,89.0,3.786,89.0,3.286,0.0,0.0,89.0,4.051
M,513.0,Sarr,46,46,Spurs,72.0,3.5,72.0,3.395,72.0,3.159,72.0,3.075,72.0,3.368,72.0,3.146,72.0,2.721,72.0,3.338,72.0,2.919,72.0,3.363,72.0,3.311,72.0,2.906
F,44.0,Durán,50,50,Aston Villa,10.0,2.676,10.0,3.745,10.0,4.39,10.0,2.53,10.0,3.497,10.0,2.491,10.0,2.676,10.0,3.278,10.0,3.45,10.0,2.502,10.0,4.409,10.0,2.496
