"ID","Name","Pos","Team","Price","xPts 2","xMin 2","xPts 3","xMin 3","xPts 4","xMin 4","xPts 5","xMin 5","xPts 6","xMin 6","xPts GW2-38"
"395","Mighten","MID","NFO","5","0.23","3.16","0.23","3.16","0.15","2.11","0.14","2.11","0.17","2.11","5.82"
"496","Plange","FWD","CRY","4.5","0.23","3.95","0.26","3.95","0.23","3.95","0.27","3.95","0.24","3.95","9.61"
"438","Reguilon","DEF","TOT","4.4","0.22","4.74","0.32","4.74","0.29","4.74","0.25","4.74","0.32","4.74","10.14"
"175","Johnstone","GK","CRY","4.5","0.21","8.18","0.36","8.18","0.20","8.18","0.38","8.18","0.34","8.18","12.68"
"298","Ramsay","DEF","LIV","4","0.20","3.68","0.15","3.68","0.22","3.68","0.19","3.68","0.18","3.68","6.60"
"151","Ampadu","DEF","CHE","4.5","0.20","4.21","0.21","4.21","0.22","4.21","0.21","4.21","0.22","4.21","7.87"
"350","Ritchie","DEF","NEW","4.5","0.20","3.68","0.17","3.68","0.22","3.68","0.15","3.68","0.24","3.68","7.75"
"547","Drameh","DEF","LEE","4","0.20","6.32","0.09","2.84","0.09","2.84","0.05","1.18","0.04","1.18","1.84"
"150","Broja","FWD","CHE","5.5","0.20","4.21","0.23","4.21","0.23","4.21","0.23","4.21","0.22","4.21","7.90"
"549","Praet","MID","LEI","5","0.19","4.21","0.24","4.21","0.19","4.21","0.21","4.21","0.20","4.21","7.86"
"372","J Lewis","DEF","NEW","4.5","0.18","4.74","0.20","7.37","0.29","7.37","0.16","7.37","0.32","7.37","9.79"
"131","Barkley","MID","CHE","5","0.17","2.11","0.19","2.11","0.19","2.11","0.19","2.11","0.19","2.11","6.71"
"115","Alzate","MID","BHA","4.5","0.17","3.16","0.17","3.16","0.19","3.16","0.17","3.16","0.18","3.16","6.31"
"400","Walcott","MID","SOU","5","0.17","1.89","0.31","4.21","0.43","6.58","0.41","6.58","0.43","6.58","15.43"
"324","Ortega","GK","MCI","4","0.15","2.96","0.13","2.96","0.15","2.96","0.15","2.96","0.13","2.96","4.94"
"63","Marcondes","MID","BOU","5","0.15","2.63","0.17","2.63","0.15","2.63","0.19","2.63","0.18","2.63","6.47"
"74","Dembele","MID","BOU","5","0.15","2.63","0.16","2.63","0.15","2.63","0.18","2.63","0.17","2.63","6.20"
